ip,anonymityLevel,asn,country,isp,latency,org,port,protocols,responseTime,speed,updated_at,upTime,upTimeSuccessCount,upTimeTryCount
"117.10.124.11","elite","AS4837","CN","CNC Group CHINA169 Tianjin Province Network","293","N/A","1080","socks4","1795","1","2023-09-12T11:39:22.583Z","67","2546","3798"
"202.40.181.132","elite","AS23991","BD","Ranks ITT","167","Ranks ITT Ltd","5678","socks4","4801","1","2023-09-12T11:39:22.584Z","90","3443","3845"
"75.119.203.210","elite","AS26347","US","New Dream Network, LLC","151","New Dream Network, LLC","32524","socks4","5199","1","2023-09-12T11:39:22.587Z","100","3871","3872"
"66.33.212.161","elite","AS26347","US","New Dream Network, LLC","86","New Dream Network, LLC","15891","socks4","4605","1","2023-09-12T11:39:22.582Z","100","3745","3752"
"185.32.44.221","elite","AS200154","AZ","Izone LLC","100","Izone LLC","4153","socks4","4691","1","2023-09-12T11:39:07.182Z","99","3755","3788"
"103.120.49.99","elite","AS135406","AU","BCD NETWORKS PTY LTD","283","BCD NETWORKS PTY LTD","8080","socks4","4996","84","2023-09-12T11:39:07.177Z","99","3721","3744"
"61.7.138.226","elite","AS131090","TH","CAT Telecom Public Company Limited","186","National Telecom Public Company Limited","4145","socks4","4600","1","2023-09-12T11:39:07.184Z","63","2358","3767"
"145.239.81.129","elite","AS16276","PL","OVH SAS","90","OVH Sp. z o. o","8008","socks4","4887","1","2023-09-12T11:39:07.185Z","100","3826","3826"
"168.227.158.13","elite","AS52898","BR","Multipla Serviços Inteligentes","235","Multipla Serviços Inteligentes","4145","socks4","807","1","2023-09-12T11:38:51.478Z","99","3786","3813"
"103.214.112.238","elite","AS136052","ID","PT Cloud Hosting Indonesia","290","PT Denbe Anugerah Solusindo","32323","socks5","4597","2","2023-09-12T11:38:51.479Z","99","3642","3681"
"45.7.177.179","elite","AS266626","BR","Litoral Telecom","197","Litoral Telecom","39867","socks4","4388","1","2023-09-12T11:38:51.477Z","98","3782","3871"
"54.38.242.224","elite","AS16276","FR","OVH SAS","84","OVH","31143","socks5","4798","1","2023-09-12T11:38:51.482Z","97","3794","3903"
